STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722098,64761, 20130812,   71.3,14,   67.5,14, 9999.9, 0, 1014.5,13,   9.2,14,   1.7,14,   6.0, 999.9,   75.2*,  68.0*, 0.00I,999.9, 000000,
722098,64761, 20130813,   69.9,14,   68.6,14, 9999.9, 0, 1007.7,10,   3.6,14,   0.7,14,   5.1, 999.9,   71.6*,  66.2*,99.99 ,999.9, 010000,
722098,64761, 20130815,   69.3, 7,   52.6, 7, 9999.9, 0, 1017.6, 7,  10.0, 7,   7.2, 7,  15.0, 999.9,   71.6*,  60.8*, 0.00I,999.9, 000000,
722098,64761, 20130816,   70.4, 9,   58.2, 9, 9999.9, 0, 1019.7, 9,  10.0, 9,   5.9, 9,   9.9, 999.9,   73.4*,  66.2*, 0.00I,999.9, 000000,
722098,64761, 20130817,   72.7,11,   59.3,11, 9999.9, 0, 1022.4,11,  10.0,11,   2.2,11,   6.0, 999.9,   78.8*,  62.6*, 0.00I,999.9, 000000,
722098,64761, 20130818,   66.7, 8,   60.4, 8, 9999.9, 0, 1022.1, 8,  10.0, 8,   2.2, 8,   5.1, 999.9,   73.4*,  59.0*, 0.00I,999.9, 000000,
722098,64761, 20130819,   70.9,13,   63.4,13, 9999.9, 0, 1016.5,13,   9.5,13,   4.9,13,   9.9, 999.9,   77.0*,  60.8*, 0.00I,999.9, 000000,
722098,64761, 20130820,   74.7,15,   63.4,15, 9999.9, 0, 1017.2,15,  10.0,15,   4.6,15,   9.9, 999.9,   80.6*,  66.2*,99.99 ,999.9, 010000,
722098,64761, 20130821,   73.4, 8,   66.4, 8, 9999.9, 0, 1018.9, 8,   8.0, 8,   3.8, 8,  12.0, 999.9,   84.2*,  64.4*, 0.00I,999.9, 100000,
722098,64761, 20130822,   73.4,12,   70.7,12, 9999.9, 0, 1014.5,12,   7.5,12,   7.0,12,   9.9, 999.9,   77.0*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130823,   74.2,12,   64.2,12, 9999.9, 0, 1012.7,12,   9.6,12,   7.1,12,   9.9, 999.9,   78.8*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130824,   68.3,12,   58.0,12, 9999.9, 0, 1022.0,12,  10.0,12,   4.1,12,   8.0, 999.9,   71.6*,  62.6*, 0.00I,999.9, 000000,
722098,64761, 20130825,   72.2, 9,   58.6, 9, 9999.9, 0, 1025.7, 9,  10.0, 9,   6.6, 9,  13.0, 999.9,   77.0*,  53.6*, 0.00I,999.9, 000000,
722098,64761, 20130826,   71.2,12,   64.4,12, 9999.9, 0, 1018.1,12,  10.0,12,  10.2,12,  15.0,  21.0,   73.4*,  68.0*, 0.00I,999.9, 000000,
722098,64761, 20130827,   72.7,13,   69.5,13, 9999.9, 0, 1009.8,13,   8.3,13,   5.7,13,   9.9, 999.9,   77.0*,  69.8*,99.99 ,999.9, 010000,
722098,64761, 20130828,   72.0, 9,   69.0, 9, 9999.9, 0, 1010.5, 9,   8.9, 9,   2.9, 9,   8.0, 999.9,   78.8*,  64.4*, 0.00I,999.9, 000000,
722098,64761, 20130829,   69.2,15,   66.1,15, 9999.9, 0, 1013.8,15,   7.1,15,   3.8,15,   7.0, 999.9,   71.6*,  66.2*,99.99 ,999.9, 110000,
722098,64761, 20130830,   69.0,11,   65.1,11, 9999.9, 0, 1013.4,11,   9.2,11,   6.5,11,   9.9, 999.9,   75.2*,  60.8*, 0.00I,999.9, 000000,
722098,64761, 20130831,   73.1,11,   70.6,11, 9999.9, 0, 1009.9,10,   7.7,11,  11.9,11,  14.0,  21.0,   75.2*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130901,   74.0,15,   72.3,15, 9999.9, 0, 1010.0,15,   5.7,15,   8.8,15,  12.0,  17.1,   77.0*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130902,   73.3,14,   72.6,13, 9999.9, 0, 1007.8,14,   3.2,14,   6.0,14,   9.9, 999.9,   75.2*,  71.6*,99.99 ,999.9, 110000,
722098,64761, 20130903,   71.5,14,   70.4,14, 9999.9, 0, 1006.6,14,   2.5,13,   3.9,14,   8.9,  17.1,   75.2*,  68.0*,99.99 ,999.9, 110010,
722098,64761, 20130904,   69.9,13,   61.5,13, 9999.9, 0, 1011.7,13,   9.0,13,   5.1,13,   9.9, 999.9,   77.0*,  64.4*, 0.00I,999.9, 000000,
722098,64761, 20130905,   69.5,13,   60.5,13, 9999.9, 0, 1013.4,13,  10.0,13,   4.9,13,   9.9, 999.9,   73.4*,  62.6*, 0.00I,999.9, 000000,
722098,64761, 20130906,   63.1,14,   48.7,14, 9999.9, 0, 1020.3,14,  10.0,14,   3.4,14,   8.0, 999.9,   66.2*,  57.2*, 0.00I,999.9, 000000,
722098,64761, 20130907,   63.6,13,   52.6,13, 9999.9, 0, 1015.5,13,  10.0,13,   6.9,13,  14.0, 999.9,   71.6*,  48.2*, 0.00I,999.9, 000000,
722098,64761, 20130908,   71.1,14,   59.5,14, 9999.9, 0, 1009.5,14,  10.0,14,   6.6,14,  12.0,  17.1,   77.0*,  66.2*, 0.00I,999.9, 000000,
722098,64761, 20130909,   63.3,11,   48.2,11, 9999.9, 0, 1020.1,11,  10.0,11,   4.7,11,   8.0, 999.9,   68.0*,  50.0*, 0.00I,999.9, 000000,
722098,64761, 20130910,   69.1, 8,   65.1, 8, 9999.9, 0, 1018.9, 8,  11.4, 8,  11.5, 8,  15.9,  25.1,   73.4*,  53.6*, 0.00I,999.9, 000000,
722098,64761, 20130911,   75.0,15,   71.5,15, 9999.9, 0, 1017.4,14,   6.3,15,   9.0,15,  12.0, 999.9,   78.8*,  69.8*, 0.00I,999.9, 000000,
722098,64761, 20130912,   73.2,17,   70.8,17, 9999.9, 0, 1010.8,17,   6.5,17,  10.7,17,  13.0,  19.0,   75.2*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130913,   71.2,13,   67.0,13, 9999.9, 0, 1003.2,13,   8.2,13,   5.6,13,   9.9,  15.9,   75.2*,  68.0*,99.99 ,999.9, 010010,
722098,64761, 20130914,   62.8, 8,   54.3, 8, 9999.9, 0, 1011.9, 8,  10.0, 8,   8.2, 8,  12.0, 999.9,   66.2*,  57.2*, 0.00I,999.9, 000000,
722098,64761, 20130915,   60.7,13,   50.7,13, 9999.9, 0, 1019.2,13,  10.0,13,   3.9,13,   9.9, 999.9,   64.4*,  48.2*, 0.00I,999.9, 000000,
722098,64761, 20130916,   62.8,11,   56.1,11, 9999.9, 0, 1016.5,11,  10.0,11,   2.5,11,   6.0, 999.9,   66.2*,  53.6*, 0.00I,999.9, 000000,
722098,64761, 20130917,   56.8,16,   44.3,16, 9999.9, 0, 1025.4,16,  10.0,16,   4.5,16,   9.9,  13.0,   62.6*,  48.2*, 0.00I,999.9, 000000,
722098,64761, 20130918,   57.2,14,   46.8,14, 9999.9, 0, 1023.8,14,  10.0,14,   3.1,14,   9.9, 999.9,   68.0*,  41.0*, 0.00I,999.9, 000000,
722098,64761, 20130919,   65.8, 5,   55.4, 5, 9999.9, 0, 1018.0, 5,  10.0, 5,   7.6, 5,  14.0, 999.9,   69.8*,  60.8*, 0.00I,999.9, 000000,
722098,64761, 20130920,   65.1,13,   58.7,13, 9999.9, 0, 1016.7,13,  10.0,13,   5.0,13,   9.9, 999.9,   71.6*,  48.2*, 0.00I,999.9, 000000,
722098,64761, 20130922,   66.7,10,   59.9,10, 9999.9, 0, 1004.7,10,  10.0,10,   6.1,10,  12.0, 999.9,   69.8*,  62.6*,99.99 ,999.9, 010000,
722098,64761, 20130923,   58.1, 4,   47.8, 4, 9999.9, 0, 1012.7, 4,  10.0, 4,   8.2, 4,   9.9, 999.9,   62.6*,  55.4*, 0.00I,999.9, 000000,
722098,64761, 20130924,   60.8, 6,   48.5, 6, 9999.9, 0, 1010.6, 6,  10.0, 6,   8.7, 6,  12.0,  21.0,   66.2*,  51.8*, 0.00I,999.9, 000000,
722098,64761, 20130925,   63.1,10,   51.3,10, 9999.9, 0, 1011.4,10,  10.0,10,   4.7,10,   9.9, 999.9,   68.0*,  50.0*, 0.00I,999.9, 000000,
722098,64761, 20130926,   60.2,14,   52.7,14, 9999.9, 0, 1014.5,14,  10.0,14,   2.6,14,   4.1, 999.9,   62.6*,  55.4*, 0.00I,999.9, 000000,
722098,64761, 20130927,   62.4,11,   54.3,11, 9999.9, 0, 1021.2,11,  10.0,11,   2.9,11,   6.0, 999.9,   64.4*,  57.2*, 0.00I,999.9, 000000,
722098,64761, 20130928,   63.4,16,   54.6,16, 9999.9, 0, 1023.6,16,  10.0,16,   3.3,16,   8.0, 999.9,   69.8*,  51.8*, 0.00I,999.9, 000000,
722098,64761, 20130929,   58.6,13,   51.8,13, 9999.9, 0, 1020.8,13,  10.0,13,   3.3,13,   8.9, 999.9,   62.6*,  46.4*, 0.00I,999.9, 000000,
722098,64761, 20130930,   61.4,12,   56.1,12, 9999.9, 0, 1015.8,11,   9.8,12,   3.7,12,   6.0, 999.9,   66.2*,  57.2*, 0.00I,999.9, 000000,
722098,64761, 20131001,   66.8,14,   56.4,14, 9999.9, 0, 1012.5,14,  10.0,14,   5.1,14,   9.9, 999.9,   75.2*,  51.8*, 0.00I,999.9, 000000,
722098,64761, 20131003,   70.2, 8,   53.2, 8, 9999.9, 0, 1016.9, 8,  10.0, 8,   5.0, 8,   8.0, 999.9,   75.2*,  66.2*, 0.00I,999.9, 000000,
