USAF,WBAN,STATION_NAME,CTRY,FIPS,STATE,CALL,LAT,LON,ELEV(.1M),BEGIN,END
654040,99999,WA,GH,GH,NA,DGLW,10050,-2500,3230,19730101,20130705
654080,99999,TAKORACI_GHANA,GH,GH,NA,NA,4883,-233,88,19490116,19521122
654160,99999,BOLE,GH,GH,NA,DGLB,9033,-2483,3010,19730101,20130705
654180,99999,TAMALE,GH,GH,NA,DGLE,9500,-850,1730,19730101,20130705
654200,99999,YENDI,GH,GH,NA,DGLY,9450,-17,1970,19730111,20130705
654220,99999,KUMASI_GHANA,GH,GH,NA,NA,6717,-400,2929,19490112,19521230
654290,99999,NAVRONGO_GHANA,GH,GH,NA,NA,10883,-917,2021,19500218,19521218
654320,99999,WENCHI,GH,GH,NA,DGSW,7750,-2100,3400,19730201,20130705
654360,99999,SALTPOND_GHANA,GH,GH,NA,NA,5200,-933,58,19490112,19521231
654370,99999,KETE-KRACHI,GH,GH,NA,NA,7817,-33,1220,19730111,20130705
654390,99999,SUNYANI,GH,GH,NA,DGSN,7333,-2333,3120,19741102,20130705
654420,99999,KUMASI,GH,GH,NA,DGSI,6717,-1600,2930,19730101,20130705
654430,99999,TAMALE_GHANA,GH,GH,NA,NA,9417,883,1881,19490116,19521230
654450,99999,SEFWI_BEKWAI,GH,GH,NA,DGSB,6200,-2333,1720,19740711,20130705
654490,99999,ACCRA_GHANA,GH,GH,NA,NA,5600,167,652,19501201,19521231
654500,99999,ABETIFI,GH,GH,NA,NA,6667,-750,5940,20050405,20130705
654530,99999,HO,GH,GH,NA,DGAH,6600,467,1580,19730101,20130705
654570,99999,AKIM_ODA,GH,GH,NA,DGKA,5933,-983,1400,19490112,20130705
654590,99999,KOFORIDUA,GH,GH,NA,DGKK,6083,-250,1670,19730313,20130705
654600,99999,AKUSE,GH,GH,NA,DGAK,6100,117,190,19730102,20130705
654620,99999,AKATSI,GH,GH,NA,NA,6117,800,1780,19780805,20130705
654640,99999,YENDI_GHANA,GH,GH,NA,NA,9450,17,1966,19510620,19521125
654650,99999,AXIM,GH,GH,NA,DGTX,4867,-2233,400,19730103,20130705
654670,99999,TAKORADI,GH,GH,NA,DGTK,4883,-1767,90,19730101,20130705
654690,99999,SALTPOND,GH,GH,NA,DGAS,5200,-1067,470,19730101,20130705
654710,99999,AKUSE_GHANA,GH,GH,NA,NA,6083,117,186,19490112,19521230
654720,99999,ACCRA,GH,GH,NA,DGAA,5600,-167,690,19420701,20130705
654730,99999,TEMA,GH,GH,NA,DGAT,5617,0,180,19790108,20130705
654750,99999,ADA,GH,GH,NA,DGAD,5783,633,70,19730108,20130705
654780,99999,HO_GHANA,GH,GH,NA,NA,6667,500,1585,19490202,19521231
654810,99999,ADA_GHANA,GH,GH,NA,NA,5767,633,91,19500809,19521231
654850,99999,NA,NA,NA,NA,NA,NA,NA,NA,19490112,19500731
655000,99999,MARKOYE,HV,UV,NA,NA,14633,-67,2950,20040524,20050925
655010,99999,DORI,HV,UV,NA,DFEE,14033,-33,2770,19490520,20130705
655020,99999,OUAHIGOUYA,HV,UV,NA,DFCC,13567,-2417,3360,19730101,20130705
655030,99999,OUAGADOUGOU,HV,UV,NA,DFFD,12350,-1517,3060,19490401,20130705
655050,99999,DEDOUGOU,HV,UV,NA,DFOD,12467,-3483,3000,19830701,20130705
655070,99999,FADA_NGOURMA,HV,UV,NA,DFEF,12033,367,3090,19491202,20130705
655100,99999,BOBO-DIOULASSO,HV,UV,NA,DFOO,11167,-4317,4600,19490402,20130705
655160,99999,BOROMO,HV,UV,NA,DFCO,11750,-2933,2710,19500201,20130705
655180,99999,PO,HV,UV,NA,DFCP,11150,-1150,3220,19830701,20130705
655220,99999,GAOUA,HV,UV,NA,DFOG,10333,-3183,3350,19490410,20130705
655230,99999,MANGODARA,HV,UV,NA,NA,9900,-4350,2600,NA,NA
655280,99999,ODIENNE,IV,IV,NA,DIOD,9500,-7567,4210,19490402,20110206
655360,99999,KORHOGO,IV,IV,NA,DIKO,9417,-5617,3810,19730101,20130515
655390,99999,FERKESSEDOUGOU,IV,IV,NA,NA,9600,-5200,3230,19490407,19521231
655450,99999,BONDOUKOU,IV,IV,NA,DIBU,8050,-2783,3700,19730102,20130705
655480,99999,MAN,IV,IV,NA,DIMN,7383,-7517,3400,19490402,20091002
655550,99999,BOUAKE,IV,IV,NA,DIBK,7733,-5067,3760,19490401,20130114
655570,99999,GAGNOA,IV,IV,NA,DIGA,6133,-5950,2100,19500217,20130705
655600,99999,DALOA,IV,IV,NA,DIDL,6867,-6467,2770,19780701,20130705
655620,99999,DIMBOKRO,IV,IV,NA,DIDK,6650,-4700,920,19500213,20130705
655630,99999,YAMOUSSOUKRO,IV,IV,NA,DIYO,6900,-5350,2130,19780612,20130705
655780,99999,ABIDJAN,IV,IV,NA,DIAP,5250,-3933,80,19490401,20130705
